dataset,model,round,loss,accuracy
cicids2018,LR,0,0.8226800560951233,0.14021769165992737
cicids2018,LR,1,0.1310718059539795,0.9983460903167725
cicids2018,LR,2,0.08636052161455154,0.9977203011512756
cicids2018,LR,3,0.06627072393894196,0.9973552227020264
cicids2018,LR,4,0.05458682402968407,0.9973552227020264
cicids2018,LR,5,0.04685571417212486,0.9973552227020264
cicids2018,LR,6,0.041334368288517,0.9973552227020264
cicids2018,LR,7,0.0371844619512558,0.9973626732826233
cicids2018,LR,8,0.03394068777561188,0.9973626732826233
cicids2018,LR,9,0.031335923820734024,0.9973626732826233
cicids2018,LR,10,0.02919703535735607,0.9973626732826233
