dataset,hidden_layers,neurons,batch_size,epochs,learning_rate,accuracy,f1_score,train_time_s
CICIDS2017,4,256,256,20,0.001,98.3487,0.9449,210.7
CICIDS2017,3,256,256,20,0.0005,98.24,0.9418,107.5
CICIDS2017,3,256,256,10,0.001,98.1841,0.94,69.2
CICIDS2017,4,64,256,20,0.001,98.1675,0.9389,45.8
CICIDS2017,3,64,256,20,0.0005,98.1281,0.9382,51.6
CICIDS2017,4,64,256,20,0.0005,98.081,0.9369,50.8
CICIDS2017,4,256,256,10,0.0005,97.9721,0.9333,80.5
CICIDS2017,2,64,256,20,0.001,97.9676,0.9333,50.8
CICIDS2017,4,128,256,20,0.001,97.9573,0.9331,89.6
CICIDS2017,3,128,256,20,0.0005,97.9394,0.9328,58.7
CICIDS2017,4,128,256,20,0.0005,97.8452,0.9299,95.8
CICIDS2017,4,64,256,10,0.001,97.8286,0.9291,22.3
CICIDS2017,3,64,256,20,0.001,97.7959,0.9283,50.5
CICIDS2017,2,256,256,20,0.001,97.7928,0.9285,138.0
CICIDS2017,2,256,256,10,0.001,97.7123,0.9255,60.1
CICIDS2017,3,256,256,20,0.001,97.7098,0.9258,132.3
CICIDS2017,3,64,256,10,0.001,97.7042,0.9247,21.4
CICIDS2017,3,256,256,10,0.0005,97.7013,0.9255,55.8
CICIDS2017,4,128,256,10,0.0005,97.645,0.9238,41.6
CICIDS2017,3,128,256,10,0.0005,97.5814,0.9218,30.9
CICIDS2017,2,64,256,20,0.0005,97.3395,0.9149,54.3
CICIDS2017,4,64,256,10,0.0005,97.2994,0.9137,22.0
CICIDS2017,2,256,256,10,0.0005,97.1508,0.9087,51.1
CICIDS2017,2,128,256,10,0.0005,96.9771,0.9035,34.3
CICIDS2017,2,64,256,10,0.001,96.9656,0.9042,30.5
CICIDS2017,2,128,256,20,0.001,96.5048,0.8932,71.5
CICIDS2017,3,64,256,10,0.0005,96.4911,0.8904,20.7
CICIDS2017,2,64,256,10,0.0005,96.3181,0.8843,28.2
CICIDS2017,4,256,256,10,0.001,96.3178,0.8875,86.5
CICIDS2017,2,256,256,20,0.0005,96.1224,0.8832,104.9
CICIDS2017,4,128,256,10,0.001,95.8449,0.8762,48.9
CICIDS2017,2,128,256,10,0.001,95.774,0.8739,36.4
CICIDS2017,3,128,256,20,0.001,95.5658,0.8694,69.3
CICIDS2017,3,128,256,10,0.001,95.5611,0.8688,39.7
CICIDS2017,4,256,256,20,0.0005,93.9021,0.8304,184.4
CICIDS2017,2,128,256,20,0.0005,93.6928,0.8244,73.6
CICIDS2018,3,64,256,20,0.001,99.9896,0.9996,35.7
CICIDS2018,3,128,256,20,0.0005,99.9844,0.9994,42.1
CICIDS2018,4,128,256,20,0.001,99.9844,0.9994,70.4
CICIDS2018,4,256,256,20,0.001,99.9844,0.9994,140.9
CICIDS2018,2,256,256,20,0.0005,99.9836,0.9994,69.5
CICIDS2018,3,128,256,10,0.001,99.9836,0.9994,19.3
CICIDS2018,3,256,256,20,0.001,99.9836,0.9994,109.7
CICIDS2018,4,128,256,20,0.0005,99.9836,0.9994,70.5
CICIDS2018,4,256,256,10,0.001,99.9836,0.9994,55.3
CICIDS2018,2,64,256,10,0.001,99.9829,0.9994,15.7
CICIDS2018,2,64,256,20,0.001,99.9829,0.9994,27.8
CICIDS2018,2,256,256,20,0.001,99.9829,0.9994,72.2
CICIDS2018,3,64,256,20,0.0005,99.9829,0.9994,34.0
CICIDS2018,3,256,256,10,0.0005,99.9829,0.9994,35.5
CICIDS2018,3,256,256,20,0.0005,99.9829,0.9994,95.8
CICIDS2018,4,128,256,10,0.001,99.9829,0.9994,30.8
CICIDS2018,4,256,256,20,0.0005,99.9829,0.9994,122.0
CICIDS2018,2,64,256,20,0.0005,99.9821,0.9994,31.1
CICIDS2018,4,64,256,20,0.001,99.9821,0.9994,58.8
CICIDS2018,3,64,256,10,0.0005,99.9806,0.9993,15.1
CICIDS2018,2,128,256,20,0.001,99.9709,0.999,42.2
CICIDS2018,2,128,256,10,0.001,99.9702,0.9989,17.4
CICIDS2018,2,128,256,20,0.0005,99.9702,0.9989,39.5
CICIDS2018,4,64,256,10,0.001,99.9702,0.9989,16.3
CICIDS2018,4,64,256,10,0.0005,99.9702,0.9989,23.0
CICIDS2018,4,64,256,20,0.0005,99.9702,0.9989,56.5
CICIDS2018,4,128,256,10,0.0005,99.9702,0.9989,28.9
CICIDS2018,4,256,256,10,0.0005,99.9702,0.9989,45.8
CICIDS2018,2,256,256,10,0.001,99.9695,0.9989,29.4
CICIDS2018,3,128,256,20,0.001,99.9695,0.9989,52.5
CICIDS2018,2,256,256,10,0.0005,99.9687,0.9989,23.4
CICIDS2018,2,128,256,10,0.0005,99.965,0.9988,17.9
CICIDS2018,2,64,256,10,0.0005,99.9642,0.9987,14.3
CICIDS2018,3,128,256,10,0.0005,99.9516,0.9983,19.0
CICIDS2018,3,256,256,10,0.001,99.9493,0.9982,44.6
CICIDS2018,3,64,256,10,0.001,99.9464,0.9981,14.0
