dataset,model,accuracy,precision,recall,f1,type
UNSW-NB15,Logistic Regression,93.23,91.73,98.99,0.9522,Centralized
UNSW-NB15,Random Forest,96.07,96.44,97.84,0.9714,Centralized
UNSW-NB15,DNN,93.35,97.72,92.39,0.9498,Centralized
CICIDS2017,Logistic Regression,96.69,86.51,92.43,0.8937,Centralized
CICIDS2017,Random Forest,99.9,99.7,99.67,0.9968,Centralized
CICIDS2017,DNN,98.4,94.28,95.19,0.9473,Centralized
CICIDS2018,Logistic Regression,99.89,99.25,99.99,0.9962,Centralized
CICIDS2018,Random Forest,100.0,99.99,100.0,1.0,Centralized
CICIDS2018,DNN,99.98,99.96,99.92,0.9994,Centralized
UNSW-NB15,Logistic Regression,84.33,,,,Federated (FedAvg)
UNSW-NB15,Random Forest,95.39,97.16,96.04,0.966,Federated (Tree Aggregation)
UNSW-NB15,DNN,93.91,,,,Federated (FedAvg)
